Database,time
MySQL,1.0815832000007504
MongoDB,18.91515800000343
MySQL,1.0716956999967806
MongoDB,20.079352800006745
MySQL,1.180431899992982
MongoDB,22.489623000001302
MySQL,1.1980289999996785
MongoDB,23.10988529999986
MySQL,1.3205336999963038
MongoDB,26.105746000015642
MySQL,1.3241137000004528
MongoDB,23.359185299999808
MySQL,1.0923546999983955
MongoDB,21.048813000001246
MySQL,1.2785487000073772
MongoDB,24.78020259999903
MySQL,1.0868323000031523
MongoDB,21.592604699981166
MySQL,1.0952746999973897
MongoDB,21.093891800002893
